source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:MF,GO:0032555,purine ribonucleotide binding,8.09116797248422e-13,True,"""Binding to a purine ribonucleotide, any compound consisting of a purine ribonucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose moiety."" [GOC:mah]",3420,1610,394,19993,0.24472049689440994,0.1152046783625731,query_1,"['GO:0017076', 'GO:0032553']"
GO:MF,GO:0097367,carbohydrate derivative binding,1.0247904974029413e-12,True,"""Binding to a carbohydrate derivative."" [GOC:pr]",3479,1610,399,19993,0.24782608695652175,0.11468812877263582,query_1,['GO:0005488']
GO:MF,GO:0005524,ATP binding,1.1448745369421488e-12,True,"""Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."" [ISBN:0198506732]",2947,1610,349,19993,0.21677018633540374,0.11842551747539871,query_1,"['GO:0032559', 'GO:0035639']"
GO:MF,GO:0017076,purine nucleotide binding,3.4101649671475592e-12,True,"""Binding to a purine nucleotide, a compound consisting of a purine nucleoside esterified with (ortho)phosphate."" [GOC:ai]",3603,1610,408,19993,0.253416149068323,0.11323896752706078,query_1,['GO:0000166']
GO:MF,GO:0035639,purine ribonucleoside triphosphate binding,7.61723146284283e-11,True,"""Binding to a purine ribonucleoside triphosphate, a compound consisting of a purine base linked to a ribose sugar esterified with triphosphate on the sugar."" [GOC:BHF, GOC:ebc, ISBN:0198506732]",3164,1610,361,19993,0.22422360248447204,0.1140960809102402,query_1,"['GO:0043168', 'GO:1901265', 'GO:1901363']"
GO:MF,GO:0003824,catalytic activity,2.0954190256195102e-10,True,"""Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."" [GOC:vw, ISBN:0198506732]",10069,1610,947,19993,0.5881987577639751,0.09405104777038435,query_1,['GO:0003674']
GO:MF,GO:0043167,ion binding,2.643669874779363e-10,True,"""Binding to an ion, a charged atoms or groups of atoms."" [GOC:jl]",6443,1610,648,19993,0.40248447204968946,0.10057426664597237,query_1,['GO:0036094']
GO:BP,GO:0009607,response to biotic stimulus,3.873089459418094e-09,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a biotic stimulus, a stimulus caused or produced by a living organism."" [GOC:hb]",493,1264,88,15075,0.06962025316455696,0.17849898580121704,query_1,['GO:0050896']
GO:BP,GO:0050896,response to stimulus,8.91257552902202e-09,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]",3119,1264,357,15075,0.2824367088607595,0.11445976274446938,query_1,['GO:0008150']
GO:MF,GO:0036094,small molecule binding,1.5081169920865807e-08,True,"""Binding to a small molecule, any low molecular weight, monomeric, non-encoded molecule."" [GOC:curators, GOC:pde, GOC:pm]",6702,1610,659,19993,0.4093167701863354,0.09832885705759475,query_1,['GO:0005488']
GO:BP,GO:0044419,biological process involved in interspecies interaction between organisms,1.550778192651834e-08,True,"""Any process evolved to enable an interaction with an organism of a different species."" [GOC:cc]",481,1264,85,15075,0.06724683544303797,0.17671517671517672,query_1,['GO:0008150']
GO:BP,GO:0051707,response to other organism,2.81690347126515e-08,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from another living organism."" [GOC:ai]",462,1264,82,15075,0.06487341772151899,0.1774891774891775,query_1,"['GO:0043207', 'GO:0044419']"
GO:BP,GO:0043207,response to external biotic stimulus,2.81690347126515e-08,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external biotic stimulus, an external stimulus caused by, or produced by living things."" [GOC:go_curators]",462,1264,82,15075,0.06487341772151899,0.1774891774891775,query_1,"['GO:0009605', 'GO:0009607']"
GO:BP,GO:0006952,defense response,4.619078007895093e-08,True,"""Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."" [GOC:go_curators]",872,1264,129,15075,0.10205696202531646,0.14793577981651376,query_1,['GO:0006950']
GO:BP,GO:0009605,response to external stimulus,6.490266432513368e-08,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus."" [GOC:hb]",519,1264,88,15075,0.06962025316455696,0.16955684007707128,query_1,['GO:0050896']
GO:BP,GO:0043412,macromolecule modification,9.002142533425368e-08,True,"""The covalent alteration of one or more monomeric units in a polypeptide, polynucleotide, polysaccharide, or other biological macromolecule, resulting in a change in its properties."" [GOC:go_curators]",2654,1264,308,15075,0.24367088607594936,0.11605124340617935,query_1,['GO:0043170']
GO:CC,GO:0016020,membrane,3.830930750114099e-06,True,"""A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it."" [GOC:dos, GOC:mah, ISBN:0815316194]",4124,872,446,9724,0.5114678899082569,0.1081474296799224,query_1,['GO:0110165']
GO:CC,GO:0005886,plasma membrane,4.651898482694526e-06,True,"""The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."" [ISBN:0716731363]",732,872,109,9724,0.125,0.1489071038251366,query_1,"['GO:0016020', 'GO:0071944']"
