Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HORVU.MOREX.r3.2HG0108690,26.276917967574068,1.3975272943999169,1.5359124084049438,0.9099003867357638,0.3628750458178468,0.7100865937751196
HORVU.MOREX.r3.2HG0108780,2149.0674194805038,-0.08934392985279765,0.33311647187563814,-0.2682062803731671,0.788540541006993,0.9439216045633455
HORVU.MOREX.r3.2HG0108800,115.50474327263693,-0.7979783616885089,0.7590034080281275,-1.0513501695093008,0.29309779303685435,0.644866492200225
HORVU.MOREX.r3.2HG0108920,298.3039088978416,1.9448272905816226,0.605072932807,3.2142030904594496,0.0013080711802848134,0.012405540063171943
HORVU.MOREX.r3.2HG0108930,15.90301019296883,6.826647279418515,3.858447748523015,1.7692729626912027,0.07684833318463073,0.28917541121668366
HORVU.MOREX.r3.2HG0108940,291.2103085368609,5.39164280529927,0.8283521823802126,6.508877407441311,7.571447937228536e-11,3.1633509481740825e-09
HORVU.MOREX.r3.2HG0109000,25.296311554212583,7.495347996664936,3.7165627022737446,2.016741972920134,0.043722447299788934,0.19626364202902838
HORVU.MOREX.r3.2HG0109070,10.204625898460499,6.186033565799811,4.096610104985074,1.5100371788548206,0.13103393766813057,
HORVU.MOREX.r3.2HG0109220,5.713778641736642,-6.656559973846344,4.1565530577023,-1.6014615671779784,0.10927472583110456,
HORVU.MOREX.r3.2HG0109280,426.7014365669136,0.7334614064440328,0.46880410966901614,1.564537066370577,0.11769149526544491,0.38355309455462466
HORVU.MOREX.r3.2HG0109310,289.7039117683498,0.8739676248289371,0.549768929180453,1.5896999238057543,0.11190246087542485,0.37098074313630236
HORVU.MOREX.r3.2HG0109330,207.13367200465458,2.5058616504580757,0.634833247626492,3.947275382672482,7.904561895073848e-05,0.0010713790623720532
HORVU.MOREX.r3.2HG0109340,1179.783675487393,2.107419208507734,0.37240505100749727,5.658943676532752,1.523075259733874e-08,4.505067918703098e-07
HORVU.MOREX.r3.2HG0109350,50.214499278702306,3.9986774933989273,1.423397938950325,2.8092477753253773,0.004965741249431773,0.03699842521645287
HORVU.MOREX.r3.2HG0109400,21.283809636213903,1.5801930260576016,1.8429739304633377,0.8574147468598913,0.3912157121754316,0.7339466751095435
HORVU.MOREX.r3.2HG0109430,5.227999473523511,5.221400295374482,4.664400392681115,1.119415113584021,0.26296308622428854,
HORVU.MOREX.r3.2HG0109440,27.96316036947348,-0.7855634287685471,1.8031623098697644,-0.43565874489983397,0.6630843421425194,0.8963411409759594
HORVU.MOREX.r3.2HG0109530,4105.845764039431,0.5691012882529911,0.3130107870938837,1.8181523184448471,0.06904085541136201,0.26826569998481326
HORVU.MOREX.r3.2HG0109660,1180.5634012134103,-0.005996279338730285,0.3876616181610532,-0.015467817957255554,0.9876589589705472,0.9973897430288393
HORVU.MOREX.r3.2HG0109680,7.399702683961948,-1.694954625205508,2.7639758589540726,-0.6132306183914727,0.5397238621041731,
HORVU.MOREX.r3.2HG0109700,150.46304870800387,-1.0066819126430928,0.7286472834118424,-1.3815764301341684,0.16710179517427404,0.473885152036733
HORVU.MOREX.r3.2HG0109720,5.179557982017529,2.6562252595524902,3.8313912251969073,0.6932795695944568,0.48813412178311044,
HORVU.MOREX.r3.2HG0109800,1215.722490145783,4.75551342280734,0.45033814724529664,10.559872513347262,4.572824477329748e-26,7.492259084817132e-24
HORVU.MOREX.r3.2HG0109850,71.6902181222245,0.1665865254279124,0.9265382878501706,0.1797945401851013,0.8573138700714678,0.9646328617035744
HORVU.MOREX.r3.2HG0109930,7.0106227445531095,-3.73156960232037,2.8177984076275364,-1.3242855103542304,0.18540824087231633,
HORVU.MOREX.r3.2HG0109970,464.6796109293821,0.4192069932021883,0.45100360048609484,0.9294981076655797,0.35263100545909465,0.7001506205425716
HORVU.MOREX.r3.2HG0109980,107.56284231987047,-0.11095357413612712,0.7853111952874018,-0.1412861230069708,0.8876439118815365,0.9747867693103062
HORVU.MOREX.r3.2HG0110000,8592.880068716733,1.1111621294009812,0.31255076062828857,3.555141338217596,0.0003777759574629792,0.004189377439363841
HORVU.MOREX.r3.2HG0110060,605.1466057931706,-0.6559220980834167,0.4394842639882177,-1.4924814193142568,0.13557298468253692,0.4173235908674926
HORVU.MOREX.r3.2HG0110110,80.7831953464684,-1.1345074178744576,0.9044376639639038,-1.254378784826608,0.2097043599473818,0.541164185213194
HORVU.MOREX.r3.2HG0110140,1033.401605056111,0.933041485286531,0.37329032922846084,2.4995061811941333,0.012436652950081561,0.07689283910535075
HORVU.MOREX.r3.2HG0110160,213.0432810113089,-0.47143299643267145,0.5937870695646188,-0.7939428468496952,0.4272287044017168,0.7622281822976795
HORVU.MOREX.r3.2HG0110410,248.1366228998521,-3.025902175847388,0.5605106127673357,-5.398474367698405,6.72099678981481e-08,1.7495529338221977e-06
HORVU.MOREX.r3.2HG0110420,140.78529297120585,-0.7368548521759596,0.6929315578627234,-1.0633876373717386,0.287606196791778,0.6392976538369356
HORVU.MOREX.r3.2HG0110530,2852.058799671138,-0.26902065661127866,0.322803085939611,-0.8333893581847794,0.40462517452279334,0.7462921714653039
HORVU.MOREX.r3.2HG0110560,78.4582562925129,1.008206223267087,0.9171721809221624,1.0992551281411471,0.27165679877017435,0.6223986334707295
HORVU.MOREX.r3.2HG0110580,205.1585683586546,0.19166184220950946,0.5968142371269026,0.32114153833222947,0.7481031330265118,0.9294579342581044
